,id,centroid,행정동,coordinates,인구수,장애등록인원,고령인구수,복지시설밀도,건물3유형,건물2유형,전동휠체어충전소,전동휠체어충전소_bin,Predictions,XGBoost Predictions,SVM Predictions,KNN Predictions,Random Forest Predictions,Decision Tree Predictions,AdaBoost Predictions,LightGBM Predictions,Gradient Boosting Predictions,scaled_Predictions,위도,경도
34,45,POINT (128.1237447936115 35.24205669443206),집현면,"[[128.1209799796377, 35.23981669683106], [128.12101434909096, 35.2443249716471], [128.12650975994842, 35.24429664809742], [128.12647508640512, 35.23978837798171], [128.1209799796377, 35.23981669683106]]",52.0,2.517241379,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.24205669443206,128.1237447936115
35,46,POINT (128.0408664352618 35.17482798923101),판문동,"[[128.0381061749659, 35.17258603176552], [128.0381358837521, 35.177094422901696], [128.04362684738615, 35.17706990317675], [128.04359683549737, 35.17256151611321], [128.0381061749659, 35.17258603176552]]",76.0,15.02857143,22.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.17482798923101,128.0408664352618
36,47,POINT (128.2224982363503 35.22347374581609),대곡면,"[[128.219731385718, 35.22123602125837], [128.21977119314693, 35.225744218748574], [128.22526523924506, 35.22571142609633], [128.2252251280289, 35.221203234049284], [128.219731385718, 35.22123602125837]]",42.0,2.068181818,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.22347374581609,128.2224982363503
37,48,POINT (128.1410119851707 35.34115146600887),미천면,"[[128.13824328721225, 35.33891194017642], [128.13827874170886, 35.34342012601587], [128.14378083624055, 35.34339094768612], [128.1437450761701, 35.3388827666828], [128.13824328721225, 35.33891194017642]]",43.0,1.901639344,21.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.34115146600887,128.1410119851707
38,49,POINT (128.1666016725516 35.10657360670941),금곡면,"[[128.16384034215656, 35.10433450022635], [128.1638768999309, 35.1088428381433], [128.16936315431872, 35.10881266930692], [128.16932629448704, 35.10430433640516], [128.16384034215656, 35.10433450022635]]",21.0,1.632183908,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.10657360670941,128.1666016725516
39,50,POINT (128.1722729288869 35.12908492572809),금곡면,"[[128.16951067552452, 35.12684596698062], [128.16954757630472, 35.13135428291473], [128.17503533379062, 35.131323840533724], [128.17499813061937, 35.12681552965882], [128.16951067552452, 35.12684596698062]]",53.0,1.632183908,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.12908492572809,128.1722729288869
40,52,POINT (127.9037726537664 35.2114308705137),수곡면,"[[127.90101487677434, 35.20918578337118], [127.901037046912, 35.21369423588499], [127.90653058280144, 35.21367591459486], [127.9065081089903, 35.20916746512279], [127.90101487677434, 35.20918578337118]]",11.0,0.932773109,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.2114308705137,127.9037726537664
41,53,POINT (128.0526424672064 35.29199521408247),명석면,"[[128.0498778710524, 35.28975360763121], [128.04990836157285, 35.294261902505575], [128.0554072160685, 35.29423677678753], [128.05537642069356, 35.28972848608024], [128.0498778710524, 35.28975360763121]]",0.0,1.79245283,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.29199521408247,128.0526424672064
42,55,POINT (128.0913628277077 35.32337097996526),미천면,"[[128.08859609607603, 35.321130290817884], [128.08862877129576, 35.32563853189471], [128.09412971229779, 35.325611625171916], [128.09409673176032, 35.321103388555734], [128.08859609607603, 35.321130290817884]]",28.0,1.901639344,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.32337097996526,128.0913628277077
43,56,POINT (128.0304124260582 35.25602712752578),명석면,"[[128.0276496706127, 35.253784983517505], [128.02767888974762, 35.25829332174522], [128.03317533393357, 35.2582692279274], [128.03314581047928, 35.25376089369743], [128.0276496706127, 35.253784983517505]]",43.0,1.79245283,20.0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0.0,35.25602712752578,128.0304124260582
44,57,POINT (128.1351221945534 35.29159024044667),미천면,"[[128.1323553669351, 35.289350542013274], [128.13239043010717, 35.293858770028905], [128.1378891749094, 35.29382989482442], [128.13785380690712, 35.289321671597676], [128.1323553669351, 35.289350542013274]]",20.0,1.901639344,11.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0,35.29159024044667,128.1351221945534
45,58,POINT (128.0795260017102 35.20620870201125),상봉동,"[[128.07676361820796, 35.20396765740371], [128.07679549819733, 35.208475995447415], [128.08228853729057, 35.20844970290505], [128.08225635373776, 35.20394136922667], [128.07676361820796, 35.20396765740371]]",14.0,56.55555556,8.0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0.0,35.20620870201125,128.0795260017102
46,59,POINT (128.3538298747023 35.17302621216932),이반성면,"[[128.35106122108934, 35.170791495856605], [128.35110820394257, 35.17529958888431], [128.35659868025039, 35.17526088379077], [128.35655139440206, 35.170752797191554], [128.35106122108934, 35.170791495856605]]",33.0,1.630952381,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.17302621216932,128.3538298747023
47,60,POINT (128.3424773078184 35.13703818830527),이반성면,"[[128.3397101988813, 35.13480317781542], [128.33975649342685, 35.13931131089045], [128.34524456841945, 35.13927315420274], [128.34519797141192, 35.13476502746805], [128.3397101988813, 35.13480317781542]]",0.0,1.630952381,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.13703818830527,128.3424773078184
48,61,POINT (128.0185883921254 35.1253314086463),내동면,"[[128.01583042486752, 35.123088905444305], [128.01585885170536, 35.12759734965256], [128.02134651083452, 35.12757386848893], [128.0213177816278, 35.1230654281833], [128.01583042486752, 35.123088905444305]]",10.0,1.2125,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.1253314086463,128.0185883921254
49,64,POINT (128.2329189522701 35.16029276054979),진성면,"[[128.2301539926997, 35.15805522832548], [128.23019428225638, 35.16256346253071], [128.23568406363688, 35.162530248556166], [128.23564347123968, 35.15802201986846], [128.2301539926997, 35.15805522832548]]",0.0,1.607594937,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.16029276054979,128.2329189522701
50,65,POINT (128.1559547167221 35.14720841375562),금곡면,"[[128.1531922837025, 35.14496909152613], [128.15322830928397, 35.149477408818925], [128.1587173014112, 35.14944769207628], [128.15868097316465, 35.14493937972096], [128.1531922837025, 35.14496909152613]]",18.0,4.13253012,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.14720841375562,128.1559547167221
51,66,POINT (128.2931293128786 35.14187968995244),일반성면,"[[128.2903633639118, 35.13964353835605], [128.29040694587533, 35.14415172322857], [128.29589541352735, 35.14411579713387], [128.2958515290148, 35.139607618230755], [128.2903633639118, 35.13964353835605]]",13.0,3.188679245,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.14187968995244,128.2931293128786
52,68,POINT (128.2108427117269 35.14689884081733),금곡면,"[[128.20807880728387, 35.14466078721486], [128.20811785943476, 35.14916905327416], [128.2136067678585, 35.149136850305545], [128.21356741306087, 35.14462858959678], [128.20807880728387, 35.14466078721486]]",47.0,4.13253012,24.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.14689884081733,128.2108427117269
53,69,POINT (128.0800715709288 35.28284992185356),집현면,"[[128.07730654197397, 35.28060894314435], [128.07733854253667, 35.28511722355302], [128.08283675253426, 35.285090856727706], [128.08280444726014, 35.280582580692425], [128.07730654197397, 35.28060894314435]]",6.0,2.517241379,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.28284992185356,128.0800715709288
54,70,POINT (128.068603076206 35.21527746665576),집현면,"[[128.06584067864117, 35.21303617624694], [128.0658719653909, 35.21754451612131], [128.0713656259121, 35.21751871337779], [128.071334035461, 35.21301037778692], [128.06584067864117, 35.21303617624694]]",43.0,2.517241379,19.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.21527746665576,128.068603076206
55,72,POINT (128.1462268751226 35.30505662755208),미천면,"[[128.1434592812868, 35.30281719626042], [128.1434949778891, 35.30732540446102], [128.14899462180117, 35.30729601472533], [128.148958620169, 35.30278781139809], [128.1434592812868, 35.30281719626042]]",0.0,1.901639344,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.30505662755208,128.1462268751226
56,73,POINT (128.0463270839202 35.17029496040095),판문동,"[[128.04356683027234, 35.16805312566519], [128.04359683549737, 35.17256151611321], [128.04908748936506, 35.172536751603495], [128.0490571811062, 35.16802836526899], [128.04356683027234, 35.16805312566519]]",691.0,15.02857143,183.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,35.17029496040095,128.0463270839202
57,74,POINT (128.1124155038642 35.1970298503546),하대동,"[[128.1096525426059, 35.19478955862938], [128.10968622898795, 35.19929787664345], [128.1151786171454, 35.19927009825687], [128.11514462734436, 35.1947617848553], [128.1096525426059, 35.19478955862938]]",3357.0,63.45454545,550.0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,35.1970298503546,128.1124155038642
58,75,POINT (127.9918565301348 35.24266454955146),명석면,"[[127.98909528317891, 35.240421507804825], [127.98912235399898, 35.24492988300758], [127.99461792940465, 35.24490754785715], [127.99459055445814, 35.24039917636099], [127.98909528317891, 35.240421507804825]]",82.0,1.79245283,40.0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0.0,35.24266454955146,127.9918565301348
59,76,POINT (127.9919654700437 35.26069801589372),명석면,"[[127.98920360253662, 35.25845498831529], [127.98923069741274, 35.26296334998371], [127.99472748999963, 35.2629410000028], [127.99470009072687, 35.25843264204262], [127.98920360253662, 35.25845498831529]]",15.0,1.79245283,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.26069801589372,127.9919654700437
60,77,POINT (128.0964335019415 35.26473661672885),집현면,"[[128.093668650542, 35.26249600367133], [128.09370153601176, 35.26700428440742], [128.09919850586266, 35.266977185918016], [128.0991653159568, 35.2624689096777], [128.093668650542, 35.26249600367133]]",0.0,2.517241379,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.26473661672885,128.0964335019415
61,78,POINT (128.0795900794807 35.21522536696211),하촌동,"[[128.07682738526668, 35.21298433010234], [128.07685927941765, 35.217492661368304], [128.08235292584, 35.2174663600939], [128.08232072799078, 35.21295803319419], [128.07682738526668, 35.21298433010234]]",61.0,10.35897436,22.0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0,35.21522536696211,128.0795900794807
62,79,POINT (128.1286491296304 35.16538720636583),충무공동,"[[128.12588681266496, 35.16314726680701], [128.1259213555634, 35.167655594603694], [128.13141159838958, 35.16762710209001], [128.13137675254842, 35.16311877902632], [128.12588681266496, 35.16314726680701]]",14.0,39.8,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,35.16538720636583,128.1286491296304
63,81,POINT (128.1613341511914 35.13365363029782),금곡면,"[[128.1585720368147, 35.13141442229406], [128.15860834086814, 35.135922744829664], [128.16409641713895, 35.13589279439367], [128.16405981062366, 35.13138447683523], [128.1585720368147, 35.13141442229406]]",47.0,4.13253012,18.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.13365363029782,128.1613341511914
64,82,POINT (128.107158188918 35.22861566093124),집현면,"[[128.10439428686476, 35.22637527023502], [128.10442772175705, 35.23088356908064], [128.10992224322752, 35.230856007775074], [128.1098885044426, 35.226347713504076], [128.10439428686476, 35.22637527023502]]",43.0,2.517241379,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.22861566093124,128.107158188918
65,83,POINT (128.0351688799659 35.14329354749846),내동면,"[[128.03240985079947, 35.14105143765711], [128.03243921080758, 35.14555985650575], [128.03792806072386, 35.14553561389038], [128.0378983980825, 35.14102719906997], [128.03240985079947, 35.14105143765711]]",12.0,1.2125,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.14329354749846,128.0351688799659
66,86,POINT (128.3046831571608 35.20041326681305),사봉면,"[[128.30191488217636, 35.19817743122731], [128.30195919697312, 35.202685559785856], [128.3074515842664, 35.202649057848966], [128.30740696605048, 35.19814093535095], [128.30191488217636, 35.19817743122731]]",0.0,1.913793103,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.20041326681305,128.3046831571608
67,87,POINT (128.0464477644778 35.1883284869008),판문동,"[[128.04368689116095, 35.186086667149624], [128.04371692304986, 35.190595044058576], [128.04920878972598, 35.19057026309031], [128.04917845453394, 35.186061890296656], [128.04368689116095, 35.186086667149624]]",14.0,15.02857143,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.1883284869008,128.0464477644778
68,88,POINT (128.0747328392005 35.30541753204994),미천면,"[[128.07196717923682, 35.30317644553734], [128.07199891029714, 35.307684713318345], [128.0774986519817, 35.307658574712356], [128.0774666158699, 35.303150311265654], [128.07196717923682, 35.30317644553734]]",0.0,1.901639344,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.30541753204994,128.0747328392005
69,90,POINT (128.1666751064638 35.11559027074918),금곡면,"[[128.16391346582427, 35.11335117266768], [128.16395003983845, 35.117859503799245], [128.16943689854222, 35.11782932493084], [128.16940002233653, 35.11332099881555], [128.16391346582427, 35.11335117266768]]",12.0,1.632183908,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.11559027074918,128.1666751064638
70,91,POINT (128.2660256749537 35.1781217796002),사봉면,"[[128.26325920979664, 35.17588502870102], [128.2633013537825, 35.18039321555843], [128.26879229205204, 35.18035848612941], [128.26874984496874, 35.175850305039916], [128.26325920979664, 35.17588502870102]]",14.0,1.913793103,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.1781217796002,128.2660256749537
71,92,POINT (128.1513291522155 35.25543669997924),대곡면,"[[128.14856312938588, 35.25319735048502], [128.14859904318863, 35.257705591194316], [128.15409532751883, 35.25767600541333], [128.15405910943207, 35.25316776961297], [128.14856312938588, 35.25319735048502]]",8.0,2.068181818,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.25543669997924,128.1513291522155
72,93,POINT (128.3264693802179 35.18223284750484),이반성면,"[[128.32370114518585, 35.17999750303244], [128.32374663322602, 35.184505620756205], [128.3292377672438, 35.184468147374176], [128.32919197606262, 35.17996003587361], [128.32370114518585, 35.17999750303244]]",23.0,1.630952381,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.18223284750484,128.3264693802179
