,id,행정동,coordinates,인구수,장애등록인원,고령인구수,복지시설밀도,건물3유형,건물2유형,전동휠체어충전소,전동휠체어충전소_bin,Predictions,XGBoost Predictions,SVM Predictions,KNN Predictions,Random Forest Predictions,Decision Tree Predictions,AdaBoost Predictions,LightGBM Predictions,Gradient Boosting Predictions,scaled_Predictions
403,538,중안동,"[[128.07666802070437, 35.19044262294197], [128.07669987946306, 35.19495097115081], [128.08219200806815, 35.19492469170296], [128.08215984594815, 35.19041634785802], [128.07666802070437, 35.19044262294197]]",1478.0,55.16666667,503.0,6,1,11,3,1,0,0,0,0,0,0,0,0,0,0.0
402,537,판문동,"[[128.03279203991897, 35.199660618803506], [128.03282148480648, 35.20416899366535], [128.03831427507677, 35.20414469864317], [128.03828452668117, 35.19963632781526], [128.03279203991897, 35.199660618803506]]",90.0,15.02857143,37.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
401,536,대곡면,"[[128.1652352603815, 35.27564895442734], [128.16527212794085, 35.2801571632885], [128.1707699103456, 35.28012680347107], [128.17073273816965, 35.27561859964583], [128.1652352603815, 35.27564895442734]]",0.0,2.068181818,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
369,493,금곡면,"[[128.1368315437169, 35.158581720806126], [128.13686668469484, 35.1630900424878], [128.14235660903702, 35.16306105719262], [128.14232116518704, 35.15855274032606], [128.1368315437169, 35.158581720806126]]",71.0,4.13253012,31.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
377,503,사봉면,"[[128.3130338348468, 35.21162852937677], [128.31307878641388, 35.21613663553329], [128.3185720644714, 35.21609961698741], [128.3185268092874, 35.2115915169761], [128.3130338348468, 35.21162852937677]]",9.0,1.913793103,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
376,502,금곡면,"[[128.19644927785168, 35.06808321424716], [128.19648757983876, 35.07259154861424], [128.20197136961008, 35.072559932357976], [128.20193276611272, 35.068051603249124], [128.19644927785168, 35.06808321424716]]",24.0,1.632183908,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
375,500,금곡면,"[[128.21333146770684, 35.117578953967445], [128.213370770105, 35.122087235068584], [128.21885785492776, 35.122054815826445], [128.21881825028768, 35.11754654011362], [128.21333146770684, 35.117578953967445]]",9.0,1.632183908,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
374,499,일반성면,"[[128.2850050562057, 35.153203772147336], [128.28504836445865, 35.157711952725876], [128.29053774984595, 35.15767625739851], [128.29049413884024, 35.15316808275], [128.2850050562057, 35.153203772147336]]",10.0,3.188679245,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
373,498,진성면,"[[128.23560288785524, 35.15351378777858], [128.23564347123968, 35.15802201986846], [128.24113294076693, 35.1579885627183], [128.24109205461116, 35.15348033618667], [128.23560288785524, 35.15351378777858]]",6.0,1.607594937,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0
372,497,정촌면,"[[128.07622274011885, 35.12732539236639], [128.07625449998667, 35.13183378798964], [128.08174238765693, 35.13180756959319], [128.0817103253694, 35.12729917832721], [128.07622274011885, 35.12732539236639]]",21.0,4.276923077,8.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0
