index,name,parking_type,road_address,jibun_address,유형,위도,경도
108,진주여고내공중전화(옥외),공중전화,경남 진주시 창렬로 185,,옥외,35.1963173,128.0736324
109,신용사안경원앞공중전화(옥외),공중전화,경남 진주시 진주대로 1035,대안동 21,옥외,35.1920082,128.0844969
110,진주노인요양병원_스포츠센타3층공중전화(옥내),공중전화,경남 진주시 문산읍 제곡길98번길 49-6,삼곡리 195,옥내,35.1526506,128.1769655
111,가람초교입구공중전화(옥외),공중전화,경남 진주시 도동천로 62,,옥외,35.1736674,128.110484
112,가좌주공아파트_복지관앞공중전화(옥외),공중전화,경남 진주시 가호로 26,가좌동 660,옥외,35.1621279,128.1097718
113,상봉2차아파트공중전화(옥외),공중전화,경남 진주시 진주성로147번길 8,,옥외,35.2032524,128.0732747
114,경해여고정문옆공중전화(옥외),공중전화,경남 진주시 남강로 51-25,평거동 695-7,옥외,35.1644915,128.0422318
115,원협상평지소앞공중전화(옥외),공중전화,경남 진주시 도동천로 62,,옥외,35.1736674,128.110484
116,신안현대아파트후문공중전화(옥외),공중전화,경남 진주시 천수로 315,신안동 20,옥외,35.1841011,128.0718193
117,진주시청_1층농협좌측벽공중전화(옥내),공중전화,경남 진주시 동진로 155,상대동 284,옥내,35.1802687,128.1081284
118,진주성남병원_3층공중전화(옥내),공중전화,경남 진주시 문산읍 문산로 831,,옥내,35.1571883,128.200923
119,경남맨션앞공중전화(옥외),공중전화,경남 진주시 이현동 42,경남 진주시 이현동 42,옥외,35.1914885,128.0624883
120,진주노인요양병원_스포츠센타4층공중전화(옥내),공중전화,경남 진주시 문산읍 제곡길98번길 49-6,삼곡리 195,옥내,35.1526506,128.1769655
121,이현주공2차아파트상가앞공중전화(옥외),공중전화,경남 진주시 서장대로 235,이현동 8-1,옥외,35.1920226,128.0582664
122,새진주정신병원_2층공중전화(옥내),공중전화,경남 진주시 문산읍 제곡길98번길 49-6,,옥내,35.1526506,128.1769655
123,남강분국앞공중전화(옥외),공중전화,경남 진주시 대신로 265,상대동 306-1,옥외,35.1839022,128.1164656
124,들말흥한아파트공중전화(옥외),공중전화,경남 진주시 석갑로 45,,옥외,35.1754491,128.0648353
125,엠마우스병원입구좌공중전화(옥내),공중전화,경남 진주시 남강로 25,평거동 1084,옥내,35.1659787,128.0406794
126,한마음의집공중전화(옥내),공중전화,경남 진주시 사봉면 사군로 559,,옥내,35.1944141,128.3048788
127,한주럭키아파트상가앞공중전화(옥외),공중전화,경남 진주시 진주대로 859,주약동 156,옥외,35.1763912,128.0908598
128,진주보건대앞공중전화(옥외),공중전화,경남 진주시 창렬로 95,,옥외,35.1967089,128.0682546
